empresa;producto;precio;fecha_vigencia;empresabandera;latitud;longitud;anio;mes
BIOENERGIA SRL;Gas Oil Grado 2;16.99;30/3/2017 12:27;SOL PETROLEO;-3.173.979;-6.052.589;2017;3
BIOENERGIA SRL;Gas Oil Grado 3;20.48;30/3/2017 12:28;SOL PETROLEO;-3.173.979;-6.052.589;2017;3
BIOENERGIA SRL;Nafta (premium) de más de 95 Ron;22.48;30/3/2017 12:27;SOL PETROLEO;-3.173.979;-6.052.589;2017;3
BIOENERGIA SRL;Nafta (súper) entre 92 y 95 Ron;19.98;30/3/2017 12:15;SOL PETROLEO;-3.173.979;-6.052.589;2017;3
BJA GNC DE BARON JOSE ANTONIO;GNC;11.99;1/4/2017 07:35;BLANCA;-31.758.048;-60.485.347;2017;4
BJA GNC DE BARON JOSE ANTONIO;GNC;24.99;1/4/2019 14:00;BLANCA;-31.758.048;-60.485.347;2019;4
BJA GNC DE BARON JOSE ANTONIO;GNC;759.9;1/4/2025 13:00;BLANCA;-31.758.048;-60.485.347;2025;4
BJA GNC DE BARON JOSE ANTONIO;GNC;49.99;1/5/2021 14:00;BLANCA;-31.758.048;-60.485.347;2021;5
BJA GNC DE BARON JOSE ANTONIO;GNC;74.99;1/5/2022 22:00;BLANCA;-31.758.048;-60.485.347;2022;5
BJA GNC DE BARON JOSE ANTONIO;GNC;635.9;1/7/2024 13:00;BLANCA;-31.758.048;-60.485.347;2024;7
BJA GNC DE BARON JOSE ANTONIO;GNC;83.99;1/8/2022 22:00;BLANCA;-31.758.048;-60.485.347;2022;8
BJA GNC DE BARON JOSE ANTONIO;GNC;651.9;1/8/2024 13:00;BLANCA;-31.758.048;-60.485.347;2024;8
BJA GNC DE BARON JOSE ANTONIO;GNC;17.99;1/9/2018 14:00;BLANCA;-31.758.048;-60.485.347;2018;9
BJA GNC DE BARON JOSE ANTONIO;GNC;20.19;1/10/2018 22:00;BLANCA;-31.758.048;-60.485.347;2018;10
BJA GNC DE BARON JOSE ANTONIO;GNC;27.99;1/11/2019 14:00;BLANCA;-31.758.048;-60.485.347;2019;11
BJA GNC DE BARON JOSE ANTONIO;GNC;53.99;1/11/2021 22:00;BLANCA;-31.758.048;-60.485.347;2021;11
BJA GNC DE BARON JOSE ANTONIO;GNC;473.90;2/2/2024 13:00;BLANCA;-31.758.048;-60.485.347;2024;2
BJA GNC DE BARON JOSE ANTONIO;GNC;794.9;2/7/2025 13:00;BLANCA;-31.758.048;-60.485.347;2025;7
BJA GNC DE BARON JOSE ANTONIO;GNC;149.9;2/8/2023 13:00;BLANCA;-31.758.048;-60.485.347;2023;8
BJA GNC DE BARON JOSE ANTONIO;GNC;671.9;2/10/2024 13:00;BLANCA;-31.758.048;-60.485.347;2024;10
BJA GNC DE BARON JOSE ANTONIO;GNC;883.9;2/10/2025 13:00;BLANCA;-31.758.048;-60.485.347;2025;10
BJA GNC DE BARON JOSE ANTONIO;GNC;99.99;2/12/2022 14:00;BLANCA;-31.758.048;-60.485.347;2022;12
BJA GNC DE BARON JOSE ANTONIO;GNC;16.99;3/4/2018 14:00;BLANCA;-31.758.048;-60.485.347;2018;4
BJA GNC DE BARON JOSE ANTONIO;GNC;529.9;3/4/2024 13:00;BLANCA;-31.758.048;-60.485.347;2024;4
BJA GNC DE BARON JOSE ANTONIO;GNC;559.9;3/5/2024 13:00;BLANCA;-31.758.048;-60.485.347;2024;5
BJA GNC DE BARON JOSE ANTONIO;GNC;79.99;3/6/2022 14:00;BLANCA;-31.758.048;-60.485.347;2022;6
BJA GNC DE BARON JOSE ANTONIO;GNC;754.9;3/6/2025 13:00;BLANCA;-31.758.048;-60.485.347;2025;6
BJA GNC DE BARON JOSE ANTONIO;GNC;677.9;3/9/2024 13:00;BLANCA;-31.758.048;-60.485.347;2024;9
BJA GNC DE BARON JOSE ANTONIO;GNC;859.9;3/9/2025 13:00;BLANCA;-31.758.048;-60.485.347;2025;9
