id,clase
0,Soja
1,Soja
2,Soja
3,Maiz
4,Soja
5,Soja
6,Soja
7,Soja
8,Maiz
9,Soja
10,Soja
11,Soja
12,Ganaderia
13,Ganaderia
14,Maiz
15,Soja
16,Maiz
17,Maiz
18,Soja
19,Ganaderia
20,Sorgo
21,Soja
22,Maiz
23,Maiz
24,Maiz
25,Maiz
26,Leñosas
27,Ganaderia
28,Ganaderia
29,Soja
30,Ganaderia
31,Sorgo
32,Soja
33,Soja
34,Soja
35,Soja
36,Soja
37,Soja
38,Ganaderia
39,Soja
40,Maiz
41,Ganaderia
42,Maiz
43,Soja
44,Ganaderia
45,Soja
46,Ganaderia
47,Maiz
48,Sorgo
49,Soja
50,Ganaderia
51,Maiz
52,Ganaderia
53,Ganaderia
54,Ganaderia
55,Ganaderia
56,Ganaderia
57,Soja
58,Maiz
59,Soja
60,Maiz
61,Soja
62,Soja
63,Ganaderia
64,Soja
65,Maiz
66,Soja
67,Maiz
68,Leñosas
69,Ganaderia
70,Ganaderia
71,Ganaderia
72,Soja
73,Maiz
74,Soja
75,Soja
76,Soja
77,Soja
78,Soja
79,Soja
80,Soja
81,Ganaderia
82,Maiz
83,Soja
84,Soja
85,Soja
86,Maiz
87,Leñosas
88,Soja
89,Maiz
90,Soja
91,Soja
92,Soja
93,Leñosas
94,Soja
95,Ganaderia
96,Ganaderia
97,Soja
98,Soja
99,Soja
100,Soja
101,Ganaderia
102,Soja
103,Maiz
104,Ganaderia
105,Soja
106,Maiz
107,Soja
108,Maiz
109,Soja
110,Ganaderia
111,Maiz
112,Ganaderia
113,Soja
114,Maiz
115,Ganaderia
116,Soja
117,Maiz
118,Soja
119,Ganaderia
120,Soja
121,Soja
122,Soja
123,Maiz
124,Soja
125,Soja
126,Ganaderia
127,Soja
128,Soja
129,Soja
130,Soja
131,Maiz
132,Soja
133,Soja
134,Ganaderia
135,Soja
136,Soja
137,Soja
138,Soja
139,Leñosas
140,Maiz
141,Ganaderia
142,Maiz
143,Soja
144,Soja
145,Sorgo
146,Leñosas
147,Maiz
148,Soja
149,Ganaderia
150,Soja
151,Soja
152,Soja
153,Soja
154,Ganaderia
155,Soja
156,Maiz
157,Ganaderia
158,Maiz
159,Ganaderia
160,Soja
161,Sorgo
162,Soja
163,Ganaderia
164,Soja
165,Ganaderia
166,Ganaderia
167,Soja
168,Ganaderia
169,Maiz
170,Ganaderia
171,Ganaderia
172,Ganaderia
173,Maiz
174,Soja
175,Soja
176,Maiz
177,Ganaderia
178,Ganaderia
179,Soja
180,Ganaderia
181,Maiz
182,Ganaderia
183,Maiz
184,Ganaderia
185,Soja
186,Soja
187,Ganaderia
188,Maiz
189,Soja
190,Ganaderia
191,Soja
192,Soja
193,Ganaderia
194,Soja
195,Soja
196,Ganaderia
197,Ganaderia
198,Maiz
199,Soja
200,Maiz
201,Leñosas
202,Soja
203,Maiz
204,Soja
205,Soja
206,Soja
207,Ganaderia
208,Soja
209,Soja
210,Maiz
211,Sorgo
212,Soja
213,Soja
214,Soja
215,Maiz
216,Ganaderia
217,Ganaderia
218,Maiz
219,Soja
220,Soja
221,Ganaderia
222,Soja
223,Maiz
224,Maiz
225,Soja
226,Ganaderia
227,Soja
228,Soja
229,Soja
230,Soja
231,Soja
232,Ganaderia
233,Soja
234,Maiz
235,Ganaderia
236,Soja
237,Leñosas
238,Ganaderia
239,Soja
240,Soja
241,Soja
242,Ganaderia
243,Maiz
244,Soja
245,Maiz
246,Soja
247,Soja
248,Soja
249,Sorgo
250,Maiz
251,Soja
252,Soja
253,Ganaderia
254,Ganaderia
255,Maiz
256,Ganaderia
257,Soja
258,Maiz
259,Maiz
260,Soja
261,Maiz
262,Soja
263,Soja
264,Soja
265,Ganaderia
266,Maiz
267,Ganaderia
268,Soja
269,Soja
270,Maiz
271,Maiz
272,Maiz
273,Soja
274,Maiz
275,Soja
276,Soja
277,Maiz
278,Ganaderia
279,Soja
280,Ganaderia
281,Ganaderia
282,Soja
283,Soja
284,Soja
